crime1,crime2,value
burglary,burglary,1
burglary,burglary_from_vehicle,0.154878448
burglary,partner_assault,-0.278752586
burglary,simple_assault,-0.519690316
burglary,theft_of_identity,0.691208015
burglary,theft_plain,0.163504664
burglary,vandalism,-0.108521255
burglary,vehicle_stolen,-0.197812404
burglary_from_vehicle,burglary,0.154878448
burglary_from_vehicle,burglary_from_vehicle,1
burglary_from_vehicle,partner_assault,-0.304743242
burglary_from_vehicle,simple_assault,0.322692313
burglary_from_vehicle,theft_of_identity,0.14548969
burglary_from_vehicle,theft_plain,0.677164526
burglary_from_vehicle,vandalism,0.386000384
burglary_from_vehicle,vehicle_stolen,-0.442909207
partner_assault,burglary,-0.278752586
partner_assault,burglary_from_vehicle,-0.304743242
partner_assault,partner_assault,1
partner_assault,simple_assault,0.471156623
partner_assault,theft_of_identity,-0.244627414
partner_assault,theft_plain,-0.222984901
partner_assault,vandalism,0.600112973
partner_assault,vehicle_stolen,0.791311575
simple_assault,burglary,-0.519690316
simple_assault,burglary_from_vehicle,0.322692313
simple_assault,partner_assault,0.471156623
simple_assault,simple_assault,1
simple_assault,theft_of_identity,-0.544908732
simple_assault,theft_plain,0.509050997
simple_assault,vandalism,0.595414053
simple_assault,vehicle_stolen,0.102855552
theft_of_identity,burglary,0.691208015
theft_of_identity,burglary_from_vehicle,0.14548969
theft_of_identity,partner_assault,-0.244627414
theft_of_identity,simple_assault,-0.544908732
theft_of_identity,theft_of_identity,1
theft_of_identity,theft_plain,0.021344726
theft_of_identity,vandalism,-0.068338506
theft_of_identity,vehicle_stolen,-0.282074945
theft_plain,burglary,0.163504664
theft_plain,burglary_from_vehicle,0.677164526
theft_plain,partner_assault,-0.222984901
theft_plain,simple_assault,0.509050997
theft_plain,theft_of_identity,0.021344726
theft_plain,theft_plain,1
theft_plain,vandalism,0.390373189
theft_plain,vehicle_stolen,-0.406834507
vandalism,burglary,-0.108521255
vandalism,burglary_from_vehicle,0.386000384
vandalism,partner_assault,0.600112973
vandalism,simple_assault,0.595414053
vandalism,theft_of_identity,-0.068338506
vandalism,theft_plain,0.390373189
vandalism,vandalism,1
vandalism,vehicle_stolen,0.433597659
vehicle_stolen,burglary,-0.197812404
vehicle_stolen,burglary_from_vehicle,-0.442909207
vehicle_stolen,partner_assault,0.791311575
vehicle_stolen,simple_assault,0.102855552
vehicle_stolen,theft_of_identity,-0.282074945
vehicle_stolen,theft_plain,-0.406834507
vehicle_stolen,vandalism,0.433597659
vehicle_stolen,vehicle_stolen,1
