age,num1
2,5
3,3
4,2
5,1
6,0
7,3
8,2
9,5
10,4
11,5
12,5
13,18
14,93
15,77
16,111
17,229
18,324
19,279
20,393
21,459
22,558
23,685
24,748
25,912
26,1002
27,1053
28,1112
29,1169
30,1202
31,1272
32,1325
33,1302
34,1351
35,1522
36,1289
37,1272
38,1302
39,1271
40,1298
41,1166
42,1194
43,1160
44,1233
45,1288
46,1221
47,1218
48,1208
49,1226
50,1418
51,1152
52,1192
53,1163
54,1089
55,1129
56,1116
57,1072
58,1020
59,1020
60,996
61,915
62,908
63,849
64,782
65,743
66,722
67,672
68,650
69,583
70,540
71,518
72,483
73,364
74,406
75,353
76,309
77,300
78,277
79,273
80,225
81,200
82,192
83,169
84,165
85,146
86,142
87,116
88,109
89,87
90,79
91,69
92,46
93,71
94,38
95,30
96,20
97,23
98,11
99,46
