age,num1
2,4
3,0
4,1
5,0
6,2
7,3
8,0
9,2
10,1
11,3
12,2
13,7
14,13
15,17
16,63
17,150
18,473
19,832
20,1174
21,1465
22,1854
23,2302
24,2590
25,2776
26,2952
27,3046
28,2912
29,2890
30,2804
31,2779
32,2539
33,2463
34,2575
35,2333
36,2230
37,2100
38,2007
39,1802
40,1775
41,1716
42,1585
43,1599
44,1622
45,1460
46,1456
47,1503
48,1422
49,1364
50,1353
51,1223
52,1231
53,1119
54,1109
55,1009
56,974
57,934
58,876
59,816
60,753
61,626
62,604
63,545
64,545
65,486
66,452
67,409
68,362
69,335
70,258
71,235
72,196
73,184
74,141
75,141
76,117
77,107
78,85
79,80
80,63
81,57
82,46
83,32
84,37
85,22
86,21
87,20
88,17
89,11
90,9
91,2
92,3
93,3
94,5
95,4
96,4
97,5
98,5
99,37
