age,num1
2,1
3,2
4,5
5,1
6,4
7,1
8,2
9,7
10,5
11,5
12,2
13,15
14,41
15,113
16,211
17,369
18,909
19,1397
20,1803
21,2114
22,2147
23,2302
24,2618
25,2636
26,2568
27,2501
28,2540
29,2361
30,2266
31,2157
32,1992
33,2016
34,1885
35,1760
36,1636
37,1570
38,1506
39,1453
40,1307
41,1219
42,1115
43,1057
44,1016
45,976
46,946
47,890
48,838
49,790
50,754
51,704
52,608
53,560
54,526
55,441
56,418
57,378
58,348
59,269
60,275
61,253
62,186
63,152
64,121
65,96
66,99
67,78
68,75
69,68
70,52
71,55
72,36
73,28
74,38
75,22
76,26
77,21
78,14
79,13
80,15
81,18
82,18
83,11
84,14
85,11
86,5
87,8
88,7
89,6
90,3
91,0
92,6
93,3
94,0
95,1
96,4
97,2
98,1
99,29
