age,num1
2,11
3,11
4,21
5,26
6,27
7,34
8,30
9,27
10,27
11,36
12,31
13,37
14,52
15,66
16,93
17,119
18,383
19,532
20,642
21,756
22,935
23,1086
24,1185
25,1282
26,1244
27,1283
28,1434
29,1448
30,1443
31,1368
32,1359
33,1366
34,1450
35,1456
36,1379
37,1338
38,1293
39,1253
40,1240
41,1242
42,1163
43,1297
44,1240
45,1269
46,1224
47,1216
48,1256
49,1175
50,1185
51,1137
52,1229
53,1198
54,1149
55,1090
56,1104
57,1051
58,964
59,1010
60,962
61,922
62,889
63,816
64,816
65,748
66,720
67,654
68,576
69,556
70,472
71,451
72,426
73,329
74,317
75,310
76,280
77,283
78,254
79,216
80,184
81,156
82,147
83,146
84,103
85,118
86,103
87,80
88,80
89,58
90,59
91,48
92,33
93,31
94,30
95,20
96,15
97,8
98,7
99,28
