age,num1
2,3
3,6
4,2
5,6
6,6
7,6
8,7
9,18
10,28
11,74
12,126
13,181
14,345
15,461
16,419
17,592
18,1012
19,1116
20,1247
21,1447
22,1526
23,1730
24,1676
25,1781
26,1825
27,1761
28,1726
29,1732
30,1743
31,1645
32,1574
33,1534
34,1577
35,1547
36,1377
37,1401
38,1346
39,1313
40,1292
41,1205
42,1157
43,1135
44,1079
45,1145
46,1150
47,1218
48,1117
49,1105
50,1168
51,1050
52,1123
53,1047
54,999
55,1028
56,1034
57,988
58,913
59,928
60,865
61,774
62,773
63,700
64,650
65,614
66,528
67,471
68,451
69,419
70,394
71,332
72,292
73,281
74,262
75,222
76,224
77,188
78,191
79,166
80,126
81,109
82,103
83,89
84,82
85,67
86,64
87,60
88,47
89,44
90,33
91,39
92,37
93,21
94,18
95,11
96,10
97,7
98,4
99,32
