age,num1
2,36
3,41
4,42
5,56
6,57
7,89
8,124
9,151
10,196
11,361
12,581
13,714
14,876
15,964
16,1056
17,1168
18,1342
19,1670
20,1801
21,2012
22,2262
23,2363
24,2396
25,2454
26,2386
27,2264
28,2351
29,2149
30,2174
31,1985
32,1979
33,1923
34,1866
35,1847
36,1731
37,1621
38,1676
39,1617
40,1701
41,1510
42,1508
43,1460
44,1539
45,1524
46,1624
47,1639
48,1588
49,1510
50,1708
51,1582
52,1667
53,1592
54,1583
55,1534
56,1480
57,1413
58,1355
59,1297
60,1209
61,1100
62,940
63,894
64,767
65,640
66,618
67,625
68,484
69,448
70,350
71,327
72,279
73,230
74,231
75,172
76,169
77,167
78,140
79,143
80,174
81,117
82,99
83,87
84,63
85,65
86,60
87,46
88,41
89,37
90,30
91,26
92,24
93,18
94,16
95,9
96,7
97,10
98,3
99,42
